rule_id,level,table,field,rule,ref_table,ref_key,ref_field,vocabulary_id,field_value,unit,rangeorder,threashold,note1,note2,note3
50081,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'B26.0',,,M,볼거리고환염(N51.1*),,
50082,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'B37.3',,,F,외음 및 질의 칸디다증(N77.1*),,
50083,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'B37.41',,,M,칸디다귀두염(N51.2*),,
50084,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C51',,,F,외음의 악성 신생물,,
50085,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C51.0',,,F,대음순의 악성 신생물,,
50086,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C51.1',,,F,소음순의 악성 신생물,,
50087,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C51.2',,,F,음핵의 악성 신생물,,
50088,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C51.8',,,F,외음의 중복병변 의 악성 신생물,,
50089,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C51.9',,,F,상세불명의 외음의 악성 신생물,,
50090,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C52',,,F,질의 악성 신생물,,
50091,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C53',,,F,자궁경부의 악성 신생물,,
50092,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C53.0',,,F,자궁경부내막의 악성 신생물,,
50093,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C53.1',,,F,외자궁경부의 악성 신생물,,
50094,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C53.8',,,F,자궁경부의 중복병변 의 악성 신생물,,
50095,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C53.9',,,F,상세불명의 자궁경부의 악성 신생물,,
50096,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C54',,,F,자궁체부의 악성 신생물,,
50097,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C54.0',,,F,자궁협부의 악성 신생물,,
50098,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C54.1',,,F,자궁내막의 악성 신생물,,
50099,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C54.2',,,F,자궁근의 악성 신생물,,
50100,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C54.3',,,F,자궁저부의 악성 신생물,,
50101,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C54.8',,,F,자궁체부의 중복병변 의 악성 신생물,,
50102,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C54.9',,,F,상세불명의 자궁체부의 악성 신생물,,
50103,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C55',,,F,자궁의 상세불명 부분의 악성 신생물,,
50104,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C56',,,F,난소의 악성 신생물,,
50105,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C56.0',,,F,"난소의 악성 신생물, 오른쪽",,
50106,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C56.1',,,F,"난소의 악성 신생물, 왼쪽",,
50107,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C56.9',,,F,"난소의 악성 신생물, 상세불명 쪽",,
50108,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57',,,F,기타 및 상세불명의 여성생식기관의 악성 신생물,,
50109,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57.0',,,F,난관의 악성 신생물,,
50110,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57.1',,,F,넓은인대의 악성 신생물,,
50111,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57.2',,,F,원인대의 악성 신생물,,
50112,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57.3',,,F,자궁주위조직의 악성 신생물,,
50113,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57.4',,,F,상세불명의 자궁부속기의 악성 신생물,,
50114,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57.7',,,F,기타 명시된 여성생식기관의 악성 신생물,,
50115,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57.8',,,F,여성생식기관의 중복병변 의 악성 신생물,,
50116,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C57.9',,,F,상세불명의 여성생식기관의 악성 신생물,,
50117,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C58',,,F,태반의 악성 신생물,,
50118,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C60',,,M,음경의 악성 신생물,,
50119,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C60.0',,,M,포피의 악성 신생물,,
50120,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C60.1',,,M,음경귀두의 악성 신생물,,
50121,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C60.2',,,M,음경체의 악성 신생물,,
50122,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C60.8',,,M,음경의 중복병변 의 악성 신생물,,
50123,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C60.9',,,M,상세불명의 음경의 악성 신생물,,
50124,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C61',,,M,전립선의 악성 신생물,,
50125,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C62',,,M,고환의 악성 신생물,,
50126,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C62.0',,,M,미하강고환의 악성 신생물,,
50127,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C62.1',,,M,하강고환의 악성 신생물,,
50128,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C62.9',,,M,상세불명의 고환의 악성 신생물,,
50129,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C63',,,M,기타 및 상세불명의 남성생식기관의 악성 신생물,,
50130,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C63.0',,,M,부고환의 악성 신생물,,
50131,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C63.1',,,M,정삭의 악성 신생물,,
50132,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C63.2',,,M,음낭의 악성 신생물,,
50133,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C63.7',,,M,기타 명시된 남성생식기관의 악성 신생물,,
50134,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C63.8',,,M,남성생식기관의 중복병변 의 악성 신생물,,
50135,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C63.9',,,M,상세불명의 남성생식기관의 악성 신생물,,
50136,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C79.6',,,F,난소의 이차성 악성 신생물,,
50137,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C79.60',,,F,"난소의 이차성 악성 신생물, 오른쪽",,
50138,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C79.61',,,F,"난소의 이차성 악성 신생물, 왼쪽",,
50139,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'C79.69',,,F,"난소의 이차성 악성 신생물, 상세불명 쪽",,
50140,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D06',,,F,자궁경부의 제자리암종,,
50141,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D06.0',,,F,자궁경부내막의 제자리암종,,
50142,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D06.1',,,F,외자궁경부의 제자리암종,,
50143,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D06.7',,,F,자궁경부의 기타 부분의 제자리암종,,
50144,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D06.9',,,F,상세불명의 자궁경부의 제자리암종,,
50145,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D07.0',,,F,자궁내막의제자리암종 ,,
50146,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D07.1',,,F,외음의 제자리암종,,
50147,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D07.2',,,F,질의제자리암종 ,,
50148,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D07.3',,,F,기타 및 상세불명의 여성생식기관,,
50149,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D07.4',,,M,음경의 제자리암종,,
50150,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D07.5',,,M,전립선의 제자리암종,,
50151,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D07.6',,,M,기타 및 상세불명의 남성생식기관,,
50152,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D25',,,F,자궁의 평활근종,,
50153,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D25.0',,,F,자궁의 점막하 평활근종,,
50154,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D25.1',,,F,자궁의 벽내 평활근종,,
50155,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D25.2',,,F,자궁의 장막하 평활근종,,
50156,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D25.9',,,F,상세불명의 자궁의 평활근종,,
50157,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D26',,,F,자궁의 기타 양성 신생물,,
50158,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D26.0',,,F,자궁경부의 기타 양성 신생물,,
50159,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D26.1',,,F,자궁체부의 기타 양성 신생물,,
50160,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D26.7',,,F,자궁의 기타 부분의 기타 양성 신생물,,
50161,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D26.9',,,F,상세불명의 자궁의 기타 양성 신생물,,
50162,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D27',,,F,난소의 양성 신생물,,
50163,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D27.0',,,F,"난소의양성신생물,오른쪽 ",,
50164,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D27.1',,,F,"난소의 양성 신생물, 왼쪽",,
50165,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D27.9',,,F,"난소의 양성 신생물, 상세불명 쪽",,
50166,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D28',,,F,기타 및 상세불명의 여성생식기관의 양성 신생물,,
50167,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D28.0',,,F,외음의 양성 신생물,,
50168,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D28.1',,,F,질의 양성 신생물,,
50169,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D28.2',,,F,난관 및 인대의 양성 신생물,,
50170,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D28.7',,,F,기타명시된여성생식기관의양성신생물 ,,
50171,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D28.9',,,F,상세불명의 여성생식기관의 양성 신생물,,
50172,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D29',,,M,남성생식기관의 양성 신생물,,
50173,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D29.0',,,M,음경의 양성 신생물,,
50174,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D29.1',,,M,전립선의 양성 신생물,,
50175,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D29.2',,,M,고환의 양성 신생물,,
50176,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D29.3',,,M,부고환의 양성 신생물,,
50177,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D29.4',,,M,음낭의양성신생물 ,,
50178,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D29.7',,,M,기타 남성생식기관의 양성 신생물,,
50179,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D29.9',,,M,상세불명의 남성생식기관의 양성 신생물,,
50180,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D39',,,F,여성생식기관의 행동양식 불명 또는 미상의 신생물,,
50181,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D39.0',,,F,자궁의 행동양식 불명 및 미상의 신생물,,
50182,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D39.1',,,F,난소의 행동양식 불명 및 미상의 신생물,,
50183,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D39.10',,,F,"난소의 행동양식 불명 및 미상의 신생물, 오른쪽",,
50184,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D39.11',,,F,"난소의 행동양식 불명 및 미상의 신생물, 왼쪽",,
50185,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D39.19',,,F,"난소의 행동양식 불명 및 미상의 신생물, 상세불명 쪽",,
50186,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D39.2',,,F,태반의 행동양식 불명 및 미상의 신생물,,
50187,1,Diagnosis,DX,gender accuracy,Demographic,PatID,"T2.""Sex""",KCD7,'D39.7',,,F,기타 여성생식기관의 행동양식 불명 및 미상의 신생물,,
